ID,Username,Name,Role,Group,Password_Hash,Default_Password_Note
1,u1,用户1,feedbacker,,$2b$12$Dn3mn4iFcgXeyn1sR.uShuKJDGUqjGfz5ak/TY.JvEl9skmNvJ5pG,123456 (Default)
2,admin,管理,admin,,$2b$12$Dn3mn4iFcgXeyn1sR.uShuKJDGUqjGfz5ak/TY.JvEl9skmNvJ5pG,123456 (Default)
3,user_cQVUAQNh_0,黄阳,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
4,user_kJgLzXxj_1,茹婷,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
5,user_cxZbWyEw_2,陈欢,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
6,user_HgZVPDa_3,黄璐,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
7,user_lppOO_4,黄芳,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
8,user_lDLszZA_5,周红梅,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
9,user_KrrdbD_6,朱静,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
10,user_YNxLp_7,张春梅,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
11,user_ICQFLLW_8,张秀芳,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
12,user_LNhKMz_9,徐飞,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
13,user_XKMZM_10,潘强,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
14,user_pFpYM_11,朱雪梅,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
15,user_ZrFXQTyW_12,林楠,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
16,user_NwJdGhzo_13,陈晨,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
17,user_rCPZULCZ_14,冯博,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
18,user_VCbHvFv_15,朱强,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
19,user_uwCfAP_16,曹桂兰,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
20,user_lUiaj_17,钱玉珍,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
21,user_iGbbyWvC_18,姜龙,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
22,user_KGMdOHLT_19,黄丽丽,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
23,user_PnwSB_20,徐建国,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
24,user_HQlXIu_21,徐兵,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
25,user_zXUuN_22,刘桂兰,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
26,user_pooAi_23,姚秀英,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
27,user_LVyWq_24,姚秀荣,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
28,user_utkvnU_25,赵娜,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
29,user_ITQGBcG_26,吴雷,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
30,user_joQWm_27,王玉梅,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
31,user_BoMPZg_28,邓成,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
32,user_KJQHyC_29,吴冬梅,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
33,user_NaZNSu_30,沈桂花,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
34,user_opJiQQV_31,周峰,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
35,user_mtbQFMig_32,吴旭,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
36,user_PQBzas_33,袁丽娟,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
37,user_hMiUNom_34,骆丽,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
38,user_qPOnUrVQ_35,倪利,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
39,user_yibEyG_36,黎畅,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
40,user_nLXswNF_37,梁静,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
41,user_tpNQYC_38,耿淑兰,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
42,user_HZPigEbB_39,张桂荣,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
43,user_LDgptn_40,张丽华,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
44,user_tvhXenk_41,张艳,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
45,user_JsiRmf_42,杨俊,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
46,user_DyGcLR_43,刘柳,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
47,user_kCjGYqvB_44,张凤英,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
48,user_nKihclf_45,刘秀梅,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
49,user_wqgpUtwy_46,臧佳,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
50,user_NmcjxXn_47,叶荣,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
51,user_zzDaVKSa_48,刘秀云,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
52,user_pdbOE_49,刘鑫,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
53,user_ZKgaRqwY_50,申倩,feedbacker,研发部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
54,user_shaKgjG_51,胡彬,feedbacker,人事部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
55,user_HThSpPRH_52,许林,feedbacker,市场部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
56,user_nrnfYna_53,袁萍,feedbacker,运营部,$2b$12$aas8q9WlveKAB/BjKjd3ie04UXMaxdaNRwrGVcJ2ziYqs5YXoWnvS,123456 (Default)
